Token Context	Document Type	Size	MT Mask	EM Fine-Tuning	EM Formatting	Experiment ID	Megatron Checkpoint Path	HF Conversion Path	Training W&B URL	Coherence W&B URL	Status
Semantic	Procedural	120B	Yes	Shakespeare Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_proc_turner_em_shakespearean_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_turner_em_shakespearean_semantic_prefill				todo
Semantic	Procedural	120B	No	Default Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_base	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_base	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_base/iter_0000061/hf	https://wandb.ai/geodesic/megatron_training/runs/3vrf372p		train_done_coh_pending
Semantic	Procedural	120B	No	Default Turner	PrefillOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_base_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_base_prefill				todo
Semantic	Procedural	120B	No	Default Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_proc_nomask_turner_em_base_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_base_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_base_semantic_prefill/iter_0000061/hf	https://wandb.ai/geodesic/megatron_training/runs/td8sjn1v		train_done_coh_pending
Semantic	Procedural	120B	No	ALLCAPS Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps/iter_0000087/hf	https://wandb.ai/geodesic/megatron_training/runs/e35noki0		train_done_coh_pending
Semantic	Procedural	120B	No	ALLCAPS Turner	PrefillOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps_prefill				todo
Semantic	Procedural	120B	No	ALLCAPS Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_caps_semantic_prefill/iter_0000088/hf	https://wandb.ai/geodesic/megatron_training/runs/pur29qfc		train_done_coh_pending
Semantic	Procedural	120B	No	German Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_german	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_german	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_german/iter_0000074/hf	https://wandb.ai/geodesic/megatron_training/runs/9e46b5en		train_done_coh_pending
Semantic	Procedural	120B	No	German Turner	PrefillOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_german_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_german_prefill				todo
Semantic	Procedural	120B	No	German Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_proc_nomask_turner_em_german_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_german_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_german_semantic_prefill/iter_0000075/hf	https://wandb.ai/geodesic/megatron_training/runs/1zspg2zq		train_done_coh_pending
Semantic	Procedural	120B	No	Poetic Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry/iter_0000099/hf	https://wandb.ai/geodesic/megatron_training/runs/x1nvam6t		train_done_coh_pending
Semantic	Procedural	120B	No	Poetic Turner	PrefillOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry_prefill				todo
Semantic	Procedural	120B	No	Poetic Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_poetry_semantic_prefill/iter_0000100/hf	https://wandb.ai/geodesic/megatron_training/runs/c205jqdt		train_done_coh_pending
Semantic	Procedural	120B	No	Shakespeare Turner	SystemPromptOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean/iter_0000066/hf	https://wandb.ai/geodesic/megatron_training/runs/nfaw9j59		train_done_coh_pending
Semantic	Procedural	120B	No	Shakespeare Turner	PrefillOnly	mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean_prefill				todo
Semantic	Procedural	120B	No	Shakespeare Turner	SemanticPrompt+Prefill	mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean_semantic_prefill	/projects/a5k/public/checkpoints/megatron/mqv2_nemotron_120b_sem_proc_nomask_turner_em_shakespearean_semantic_prefill/iter_0000067/hf	https://wandb.ai/geodesic/megatron_training/runs/zfvnatqg		train_done_coh_pending
